Deutsch,Portuguese
Österreich,Áustria
Modell,modelo
Bewegung,movimento
unten,abaixo de
Mitte,Centro
hin,lá
aufgrund,por causa de
beschäftigen,empregar
zuvor,antes
miteinander,juntos
dennoch,Não obstante
werfen,lançar
Angebot,oferta
Projekt,Projeto
verkaufen,Vendendo
reagieren,reagir
Autor,autor
kriegen,pegue
zirka,cerca de
Europäische Union,União Europeia
Größe,Tamanho
hart,duro
offenbar,pelo visto
Bruder,Irmãos
beteiligen,participar
Phase,Estágio
angeben,indicar
Reise,viajar por
erfolgreich,bem sucedido
Zustand,doença
wahr,verdadeiro
Reihe,Linha
Natur,Natureza
rechnen,calcular
bloß,somente
notwendig,necessário
entdecken,descobrir
dauern,último
wirtschaftlich,economicamente
privat,Privado
modern,moderno
Haar,cabelo
deswegen,Por causa disso
spüren,senso
unabhängig,independente
morgen,manhã
Rahmen,quadro
übrigens,por falar nisso
Einheit,Unidade
überall,No geral
feststellen,determinar
Stoff,material
Rede,discurso
unterstützen,"Apoio, suporte"
chemisch,químico
schlimm,Terrível
Schweiz,Suíça
irgendwann,Às vezes
Geschäft,o negócio
weder,nem
Anteil,Parte
Angabe,especificação
Team,equipe
außer,exceto
Sommer,Verão
Hotel,hotel
laut,de acordo com
eins,1
Alter,Velho
Sicherheit,segurança
Sozialdemokratische Partei Deutschlands,Partido Social Democrata da Alemanha
niedrig,baixo
ständig,constante
Einsatz,missão
liefern,Entrega
betonen,enfatizar
Erde,Terra
Studie,estudar
vorne,em frente
rechte,direita
Meinung,opinião
drehen,virar
Künstler,Artista
aktiv,ativo
Versuch,experimentar
somit,com isso
bezahlen,pagar
Eigenschaft,Característica
längst,a muito tempo atrás
Methode,método
Ordnung,Pedido
Russland,Rússia
Wahl,escolha
daraus,a partir disso
erfüllen,Preencha
Mama,mamãe
Region,região
Sonntag,Domingo
Internet,Internet
Nummer,número
lächeln,sorriso
genauso,bem desse jeito
überzeugen,convencer
interessant,Interessante
menschlich,humano
Elektron,elétron
Frankreich,França
Freiheit,liberdade
speziell,especial
französisch,Francês
negativ,negativo
zentral,central
Ebene,nível
besuchen,Visita
gestern,ontem
Spieler,jogador
absolut,absolutamente
Hund,cão
antworten,respostas
weiterhin,Mais
Wand,Parede
rechts,direita
konkret,concreto
russisch,russo
zahlen,contar
zugleich,simultaneamente
Feld,Campo
verdienen,ganhar
amerikanisch,americano
Sekunde,segundo
Brief,carta
Mitglied,Membro
praktisch,prático
Gefahr,Perigo
binden,laço
weltweit,no mundo todo
Liebe,amor
Beginn,Começo
China,China
breit,largo
draußen,fora
Wirkung,Efeito
Bildung,Treinamento
Blut,sangue
Meer,mar
Anzahl,número
Veränderung,mudança
durchaus,bastante
Mund,boca
berechnen,calcular
betragen,ser
fremd,estranho
Untersuchung,investigação
Fehler,Erro
mittlerweile,enquanto isso
aufbauen,acumular
Sonne,Sol
Prinzip,princípio
vorher,antecipadamente
Kampf,Batalha
Verfügung,disposição
feiern,comemoro
Programm,programa
linke,deixou
Einfluss,influência
Temperatur,temperatura
leer,vazio
mitteilen,comunicar
Verfahren,procedimento
danke,obrigada
beziehen,relacionar
verlangen,exigem
zuerst,primeiro
Analyse,análise
klassisch,clássico
ehemalig,antigo
Bein,perna
Glas,Copo
untersuchen,investigar
kalt,frio
Sorge,Preocupações
Himmel,paraíso
künftig,futuro
national,nacional
Kirche,Igreja
links,Deixou
Christlich Demokratische Union,União Democrática Cristã
bislang,até aqui
messen,medir
lieb,querida
unbedingt,necessariamente
Verein,Associação
Atom,átomo
historisch,histórico
sinken,Pia
kosten,custos
Vorstellung,atuação
entscheidend,decisivo
teilen,dividir
Typ,Modelo
stammen,venha
wissenschaftlich,científico
wieso,Por quê
Faktor,fator
Bindung,obrigatório
Literatur,literatura
überraschen,para surpreender
bestätigen,confirmar
bewusst,deliberadamente
Abschnitt,seção
Nähe,proximidade
zahlreich,numeroso
medizinisch,médico
übrig,sobrou
Türkei,Peru
Produktion,Produção
drücken,pressionar
drohen,ameaçar
Linie,linha
Gas,gás
schicken,enviar
Hälfte,metade
Kontakt,Contato
Interview,entrevista
egal,não importa
reisen,viajar
irgendwo,em algum lugar
trennen,separado
benötigen,exigir
Erinnerung,Memória
verhindern,impedir
Sicht,visualizar
Dollar,dólar
leiden,Sofrer
Anspruch,alegar
Position,posição
Sport,Esportes
Bürgerliches Gesetzbuch,Código Civil
Nachfrage,exigem
blau,azul
anschauen,Olhe para a
teuer,caro
Medien,meios de comunicação
richten,juiz
Institut,Instituto
Plan,plano
immerhin,afinal
Tor,Meta
Betrieb,Operação
komplex,complexo
Dorf,Vila
eignen,ser adequado
Klasse,Aula
eingehen,entrar em
erlauben,permitir
treiben,flutuador
weg,longe
aufstehen,ficar de pé
Absatz,Volume da unidade
unterwegs,A caminho
Vertrag,contrato
Ausdruck,Expressão
geraten,dispositivos
toll,Excelente
schweigen,Permaneça em silencio
Schwester,irmã
Chef,chefe
greifen,para pegar
Risiko,risco
schwach,fraco
Tabelle,tabel
ermöglichen,faça possível
Freitag,Sexta-feira
Hinweis,um aviso
Vorteil,vantagem
Protein,proteína
Gewinn,Lucro
grundsätzlich,basicamente
März,Marchar
wiederholen,repetir
Ruhe,tranquilo
Darstellung,representação
ruhig,calma
Traum,Sonhar
behandeln,tratar
stets,sempre
aufhören,Pare
schützen,proteção
diskutieren,discutir
Ferse,salto
Sprecher,alto falante
produzieren,para produzir
